name,value,notes
webhook_base_url,https://reptiscale-demo.vercel.app,Used by webhook actions and standalone demo pages
demo_location_id,oCn199rzTjj0rPgqXyXU,SunScale Geckos - Demo HighLevel location ID
storefront_url,https://demo.hatchkitai.com/store,Published HighLevel SunScale storefront page
starter_guide_url,https://demo.hatchkitai.com/guide,Published HighLevel lead magnet page
mango_detail_url,https://demo.hatchkitai.com/mango,Published HighLevel Mango detail page
reservation_url,https://demo.hatchkitai.com/reserve,Published HighLevel reservation page
review_url,https://demo.hatchkitai.com/review,Published HighLevel review page
referral_url,https://demo.hatchkitai.com/review,Published HighLevel referral page
vip_url,https://demo.hatchkitai.com/vip,Published HighLevel VIP page
show_qr_url,https://demo.hatchkitai.com/show-qr,Published HighLevel expo QR page
